ID;Primary Link;Stage;Checklist Question;Secondary Checklist Question;Context;Description;Follow-up Advice;Category;Weighting Score;Type;Priority;T;S;Q;F;V;Weight;Score
11;1;I explore;;Are we enabling customers to easily compare different products and services with a simple and effective comparison tool and providing clear explanations of various Products and services?;;Comparison and Information Tools: Test the tool (or related solution) with a sample group of customers to ensure ease of use and understanding  (e.g. Focus Groups, Usability testing). Aim for at least 90% compprehension amongs the target group.;Usage analytics of the comparison tool, customer feedback on clarity and usefulness, A/B testing of tool interfaces.;Comparison and Information Tools;12.5;Refined - V1;H;1;1;0;0;0;Y;12,5
12;1;I explore;;Are our service (and product) availability details accurate and up-to-date, and do we promptly communicate any changes to service/product availability, prices, or terms to customers?;;Service Availability and Updates: Ensure that 95% of customers receive updates on service availability changes within 24 hours and achieve a 90% accuracy rating on coverage map details.;Frequency and accuracy checks on coverage maps, monitoring communication timelines for service updates, customer feedback on the relevance and timeliness of information received.;Service Availability and Updates;10.0;Refined - V1;M;1;1;1;0;1;0;10
13;1;I explore;;Do we address possible customer concerns about complex information and actions we need from them early in the exploration experience?;;Addressing Customer Concerns Early: Add a dedicated FAQ section that addresses common customer concerns like number porting, featuring clear, step-by-step guidance. Validate the information with a focus group to ensure clarity.;Monitoring customer journey analytics, customer feedback on information accessibility, analysis of customer support queries related to number porting.;Addressing Customer Concerns Early;6.0;Refined - V1;L;1;0;0;0;0;0;6
14;1;I explore;;Are we providing clear instructions on purchasing and using our products, helpful guides, and customer reviews to support customers during their browsing experience?;;Guidance and Support Materials: Perform usability testing to ensure customers can find and understand this information easily. (For our digital channels insure that they include step-by-step guides, FAQs for example.);Usage analytics of guides and FAQs, customer feedback on helpfulness, analysis of customer support calls for common issues.;Guidance and Support Materials;10.5;Refined - V1;M;1;1;0;0;0;Y;10,5
15;1;I explore;;Do we provide clear, customer-friendly instructions and interfaces for managing and tracking referrals, including the status and progress of benefits or rewards?;;Referral Process Clarity: Design and test an intuitive referral management system that provides real-time updates and clear instructions on referral progress. Conduct user testing to ensure the system is straightforward and informative.;Referral program participation rates, customer feedback on referral process ease, analysis of common issues or drop-off points in the referral process.;Referral Process Clarity;8.0;Refined - V1;L;1;1;0;0;1;0;8
16;2;I buy;;Ensure customers understand all charges, fees, and cancellation penalties related to the purchase and receive a detailed breakdown in the order confirmation.;;Clear Communication of Charges and Fees: Do we provide information related to a detailed breakdown of all charges, fees, and penalties? Test the breakdown with customers to ensure clarity and understanding to achieve at least a 95% accuracy rate in customer comprehension.;Customer feedback surveys on clarity, monitoring customer support queries about fees, and reviewing the accuracy and completeness of the order breakdowns.;Clear Communication of Charges and Fees;11.5;Refined - V1;H;1;0;0;0;0;Y;11,5
17;2;I buy;;Provide a clear, concise order summary, including key contract points, and ensure all necessary product and activation information is accessible in one place.;;Transparent and Accessible Order Information: Aim for a single-page order summary that includes key contract points and product activation details. Test this summary with customers to ensure it is both accessible and easy to understand.;Website analytics on page views for order summaries, customer feedback on ease of finding information, and tracking customer support queries related to order details.;Transparent and Accessible Order Information;12.5;Refined - V1;H;1;1;0;0;0;Y;12,5
18;2;I buy;;Provide clear information on resources required (such as hardware requirements)  for installation to allow convenient activation times, ensure efficient support for issues, and confirm orders immediately after purchase.;;Efficient and Simple Purchase and Activation Process: Implement an immediate order confirmation system that provides a clear list of required equipment and options for selecting activation times. Benchmark: Confirm 100% of orders within 30 minutes of purchase and provide customers with equipment and activation details (expected next steps and timeline estimations).;Time taken to complete purchases, customer satisfaction scores, order confirmation response times, and support channel analytics.;Efficient and Simple Purchase and Activation Process;11.0;Refined - V1;H;0;1;1;0;1;0;11
19;2;I buy;;Provide real-time support options like live chat during checkout and clear communication about product returns or exchanges.;;Real-Time Support and Quick Response: Integrate live chat functionality into the checkout process and provide a dedicated section for returns and exchanges information. Test response times to ensure prompt support. Benchmark: Maintain a live chat response time of under 1 minute during checkout.;Chat response times, customer feedback on support effectiveness, and monitoring the volume of inquiries regarding returns and exchanges.;Real-Time Support and Quick Response;10.0;Refined - V1;H;0;0;1;0;1;0;10
20;2;I buy;;Offer step-by-step guides for the purchase process, clearly explain processes (like ID verification), and inform customers of their right to modify orders.;;Clear Guidance on Next Steps and Processes: Develop and test with customer interactive, step-by-step guides covering the purchase process, ID validation, and number porting. Ensure that clear instructions on how to modify orders before finalizing are included.;Customer journey analysis, feedback on clarity of guides and explanations, and tracking modifications or cancellations made by customers.;Clear Guidance on Next Steps and Processes;12.5;Refined - V1;H;1;1;0;0;0;Y;12,5
21;2;I buy;;Recognise loyal customers and ensure that they have a streamlined buying process and can easily upgrade or downgrade hardware or modify their orders before finalising without restarting the process.;;Streamlined Processes for Loyal Customers: Implement a streamlined checkout process for returning customers that allows for easy modifications and upgrades without restarting the process. Test the system with customers and for digital channels implement the relevant digital session tracking systems.;Tracking loyal customer purchases and modifications, analyzing feedback from loyal customers, and monitoring conversion rates.;Streamlined Processes for Loyal Customers;8.0;Refined - V1;M;0;1;0;0;1;0;8
22;2;I buy;;Inform customers about critical steps like ID verification and credit check process duration and implications in advance, offer alternatives, and clarify criteria for these processes.;;Transparent and Flexible Payment and Credit Check Options: Include a detailed explanation of the ID validation and credit check process, its duration, and implications on the checkout page. Offer alternative options clearly where applicable. Test with customer and attain a 90% comprehension rate.;Feedback on credit check process clarity, monitoring completion rates for credit checks, and tracking use of alternative options.;Transparent and Flexible Payment and Credit Check Options;9.0;Refined - V1;M;1;1;0;0;1;0;9
23;2;I buy;;Inform customers of their right to cancel or reschedule without penalties, offer satisfaction guarantees or easy return policies, and provide options to save orders and complete purchases later.;;Flexible and Customer-Friendly Policies: Include information about cancellation rights, satisfaction guarantees, and options to save orders for later on the checkout and confirmation pages. Use A/B testing to ensure this information is noticeable and clear. Increase awareness of cancelation processes by 90% to avoid future challenges.;Tracking cancellations and reschedules, monitoring use of save-and-return features, and customer feedback on policies.;Flexible and Customer-Friendly Policies;9.0;Refined - V1;M;1;1;0;0;1;0;9
24;2;I buy;;Highlight pre-selected services or products, make it easy to opt-out or change selections, avoid pre-selecting services with fees, and provide clear comparisons of hardware options.;;Ensuring Clear Comparisons and Choices: Ensure that any pre-selected services are highlighted and easily adjustable. Provide a straightforward comparison tool for hardware options without pre-selecting items with fees. Benchmark: Achieve a 90% completion rate in user testing for customers successfully navigating and modifying pre-selections, indicating ease of use and understanding.;Customer feedback on the ease of making choices, monitoring the number of changes to pre-selected items, and tracking usage of comparison tools.;Ensuring Clear Comparisons and Choices;8.0;Refined - V1;M;1;1;0;0;0;0;8
25;2;I buy;;Provide a clear timeline for receiving communications or orders and update inventory systems in real-time to reflect availability.;;Efficient Information and Inventory Management: Display an estimated timeline for order processing, shipment, and delivery on the confirmation page. Integrate real-time inventory tracking to ensure product availability information is up-to-date. Benchmark: Achieve a 95% accuracy rate in meeting communicated timelines.;Customer feedback on communication timeliness, tracking backorder or out-of-stock complaints, and system audits of inventory management.;Efficient Information and Inventory Management;9.0;Refined - V1;M;1;0;1;0;1;0;9
26;2;I buy;;Acknowledge customer effort, personalise order confirmations, and test design changes with customer input.;;Enhancing Customer Trust and Engagement: Personalise order confirmations with the customer's name and details of their order. Conduct user testing for any design changes to ensure they meet customer expectations and preferences.;Engagement metrics on order confirmations, customer feedback on personalized experiences, and tracking customer involvement in design testing.;Enhancing Customer Trust and Engagement;9.0;Refined - V1;M;1;1;0;0;1;0;9
27;3;I receive;;Contracts, costs, and terms & conditions must be written transparently, with simplified logic, easy-to-understand language, and no hidden fees.;;Transparent and Easy-to-Understand Contracts and Costs: Conduct a comprehensive review of all contracts, costs, and terms & conditions with a focus group to ensure clarity and simplicity. Rewrite complex terms using straightforward language and provide a glossary for any unavoidable technical terms. Benchmark: Achieve a 95% comprehension rate in focus group testing.;Regular audits of contracts, customer feedback surveys on clarity, and review of customer support queries related to contract misunderstandings.;Transparent and Easy-to-Understand Contracts and Costs;12.5;Refined - V1;H;1;1;0;0;0;Y;12,5
28;3;I receive;;Ensure consistent information is provided across all channels, with transparent and standardised naming conventions that customers understand.;;Clear, Consistent Information Across Channels and Touchpoints: Standardize naming conventions across all customer-facing channels and train customer service teams to ensure uniformity. Test these naming conventions with customers to verify understanding.;Mystery shopper audits, customer feedback on clarity, and monitoring customer queries for inconsistencies.;Clear, Consistent Information Across Channels and Touchpoints;10.0;Refined - V1;H;1;1;0;0;0;0;10
29;3;I receive;;Proactively inform customers about delivery, activation issues, and delays, and request missing information as soon as possible while providing status updates.;;Proactive Communication About Orders and Activations: Send proactive updates on delivery status, activation issues, and requests for missing information. Ensure these notifications are sent through the customer's preferred channel. Benchmark: Achieve a 95% rate of notifications sent within 30 minutes of identifying an issue.;Customer satisfaction with communication, system tracking of communication timelines, and proactive notification analytics.;Proactive Communication About Orders and Activations;13.5;Refined - V1;H;1;0;1;0;1;Y;13,5
30;3;I receive;;Ensure hardware is easy to install with plug-and-play and clear instructions, and provide 24/7 installation support across multiple channels.;;Easy Equipment Setup and Installation Support: Develop easy-to-follow installation guides and processes and set up a 24/7 multi-channel. Conduct usability testing to ensure the installation process is straightforward. Benchmark: Achieve a 90% first-time success rate in customer self-installation;Time taken to complete installations, customer feedback on installation experience, and usage of support services.;Easy Equipment Setup and Installation Support;11.0;Refined - V1;H;0;1;1;0;1;0;11
31;3;I receive;;The activation process should be unified and enable customers to use it when they receive their equipment, products, or access to a service.;;Simplified Activation and Immediate Use of Services: Benchmark: Enable 95% of customers to activate their services within 5 minutes of equipment setup (e.g Offering a unified platform where customers can activate their service with one click or a single phone call immediately upon receiving the equipment.);Monitoring time between product receipt and service activation, customer satisfaction with the activation process, and system tracking of activation delays.;Simplified Activation and Immediate Use of Services;11.0;Refined - V1;H;0;1;1;0;1;0;11
32;3;I receive;;If shipment or activation is delayed, offer alternative services to minimise disruption.;;Alternative Services During Delays: Create a contingency plan that automatically provides alternative services like mobile hotspots when delays are detected. Inform customers of these alternatives proactively. Benchmark: Offer alternative services within 1 hour of identifying a delay 90% of the time.;Tracking usage of alternative services, customer satisfaction during delays, and monitoring the frequency of delay-related issues.;Alternative Services During Delays;11.0;Refined - V1;H;1;0;1;0;1;0;11
33;3;I receive;;Customers should easily access their service case status and track their orders anytime, receiving proactive updates on any changes.;;Easy Access to Service Status and Information: Implement a customer self-service portal that provides real-time updates on service cases and order status. Test the portal for ease of use with a customer sample group.;Monitoring system usage for order tracking, customer satisfaction with updates, and response times for status changes.;Easy Access to Service Status and Information;11.5;Refined - V1;M;0;1;1;0;1;Y;11,5
34;3;I receive;;Inform customers about return and recycling processes for old or unused devices, with clear instructions for returning equipment when contracts are terminated.;;Streamlined Product Returns and Recycling: In the customers' channel of choice outline the return and recycling processes with step-by-step instructions and visuals. Validate the instructions with customer testing.;Return and recycling rates, customer feedback on the return process, and tracking fees charged for unreturned equipment.;Streamlined Product Returns and Recycling;7.0;Refined - V1;L;1;1;0;0;0;0;7
35;3;I receive;;Ensure shipment and relocation processes are standardised, allowing customers to modify delivery information or orders before dispatch without restarting the process.;;Unified Shipment and Relocation Processes: Implement a standardised shipment and relocation process that allows customers to modify delivery details directly through their customer account up until dispatch. Test the process to ensure it’s user-friendly. Benchmark: Achieve a 90% success rate in customers modifying their delivery information without errors or the need for customer service intervention.;Order modification rates, customer feedback on shipment adjustments, and tracking shipment consistency across devices.;Unified Shipment and Relocation Processes;10.5;Refined - V1;M;1;1;0;0;0;Y;10,5
36;3;I receive;;Delivery notes and instructions should be easy to understand, potentially including pictures for reference.;;Easy-to-Understand Delivery Notes and Instructions: Design delivery notes and instructions with simple language and include visual aids such as pictures or diagrams. Conduct user testing to ensure these materials are easily understood. Benchmark: Achieve a 95% comprehension rate.;Customer feedback on delivery note clarity, review of delivery materials, and tracking support queries about installation.;Easy-to-Understand Delivery Notes and Instructions;8.0;Refined - V1;M;1;1;0;0;0;0;8
37;3;I receive;;Immediately send a personalised contract and order confirmations to the customer’s channel of choice and ensure they are available for reference in the customer’s self-service platform.;;Fast, Personalized Contract and Order Confirmations: Send 100% of contract and order confirmations within 5 minutes of order processing;Monitoring system time for sending confirmations, customer feedback on the confirmation process, and tracking access to MySunrise for contract review.;Fast, Personalized Contract and Order Confirmations;9.0;Refined - V1;M;1;0;1;0;1;0;9
38;3;I receive;;Offer a two-way communication option for customers to ask questions asynchronously during installation, ensuring an easy and convenient support channel.;;Two-Way Communication for Installation Support: Set up an asynchronous messaging platform (e.g., chat or email) where customers can ask installation-related questions and receive responses within a set timeframe (e.g., within 1 hour). Benchmark: Respond to 95% of customer inquiries within 1 hour during the installation process.;Usage of two-way communication tools, customer satisfaction with support responsiveness, and monitoring of unresolved queries.;Two-Way Communication for Installation Support;9.0;Refined - V1;M;0;1;1;0;1;0;9
39;3;I get connected;;Our installation guides are designed to be self-explanatory with minimal need for text, using simple language and minimising manual work required for customers to install and activate their products.;;Clear and Simple Installation and Activation Process: Develop and test visual installation guides with minimal text, focusing on intuitive design elements like images and icons. Conduct usability tests with a diverse set of customers to ensure the guides are self-explanatory. Benchmark: Achieve a 90% success rate in customer self-installations without additional support.;Customer feedback on ease of installation, time taken to complete setup, and support call volume related to installation queries.;Clear and Simple Installation and Activation Process;11.5;Refined - V1;H;0;1;0;0;0;Y;11,5
40;3;I get connected;;The onboarding journey is consistent across all channels and products. It uses the same process and requires explicit customer consent for changes.;;Consistent Onboarding Experience Across All Channels: Standardise the onboarding process across all channels, ensuring that customers receive the same experience and are prompted for explicit consent for any changes. Validate the process consistency through customer journey mapping and testing.;Channel consistency audits, customer feedback on cross-channel experience, and tracking consent confirmations during onboarding.;Consistent Onboarding Experience Across All Channels;12.5;Refined - V1;H;1;1;0;0;0;Y;12,5
41;3;I get connected;;We react promptly to detected issues, inform customers about the next steps, and provide proactive support, including directing repeat issues to the appropriate support level.;;Proactive Issue Management and Support: Enable a proactive support system that automatically escalates repeat issues to higher support levels and sends notifications to customers about next steps. Conduct regular training for support agents on proactive issue resolution.;Average time to issue resolution, customer satisfaction with problem handling, and system tracking of support escalations.;Proactive Issue Management and Support;9.0;Refined - V1;M;1;0;1;0;1;0;9
42;3;I get connected;;Customers can quickly check the status of their orders and issues, with updates provided independently of the contact channel used.;;Easy Access to Order and Issue Status: Enhance the MySunrise app and portal to provide real-time order and issue status updates. Test the interface with customers to ensure ease of use and accessibility.;System usage analytics for order status checking, customer feedback on ease of access, and monitoring of status update frequency.;Easy Access to Order and Issue Status;11.0;Refined - V1;H;0;1;1;0;1;0;11
43;3;I get connected;;We use clear, jargon-free language in all communications, avoid sales language in transactional messages, and explain concepts in a way customers understand.;;Simplified Communication in Customer Interactions: Review and revise all customer communications to remove jargon and sales language, focusing on clear, straightforward language. Test communications with customers to ensure understanding. Benchmark: Achieve a 90% clarity/comprehension score.;Customer feedback on communication clarity, analysis of support call transcripts for clarity, and customer satisfaction scores related to understanding.;Simplified Communication in Customer Interactions;11.5;Refined - V1;M;0;1;1;0;1;Y;11,5
44;3;I get connected;;Communication is tailored to the customer’s context, informing them of relevant next steps and considering their onboarding/connection/order status.;;Tailored and Contextual Communication: Implement a context-aware  system that customizes messages based on the customer's step in the journey. Validate the effectiveness of this system through A/B testing;Customer feedback on communication relevance, monitoring of customer engagement with tailored messages, and tracking next-step completion rates.;Tailored and Contextual Communication;9.0;Refined - V1;M;1;1;0;0;1;0;9
45;3;I get connected;;Support teams are knowledgeable and equipped to handle onboarding requests quickly, with all issue history captured to avoid making customers repeat themselves.;;Customer-Friendly Support Process: Log all customer interactions and issue histories. Train support agents on using this system to provide quick, informed responses without redundant questioning.;First-call resolution rates, customer satisfaction with support interactions, and system audit of issue and interaction history records.;Customer-Friendly Support Process;9.0;Refined - V1;M;0;1;1;0;1;0;9
46;3;I get connected;;Digital touchpoints (like the an onboarding app or chatbot etc.) should provide quick and efficient answers to customer questions.;;Self-Service and Digital Support Enhancement: Optimise digital touchpoints to provide immediate, relevant answers to customer queries. Test these touchpoints with customers to ensure they are intuitive and helpful. Benchmark: Achieve an 85% resolution rate for customer queries through digital touchpoints;Usage analytics of digital support tools, customer satisfaction with self-service options, and reduction in support call volumes for common queries.;Self-Service and Digital Support Enhancement;9.0;Refined - V1;M;0;1;1;0;1;0;9
47;3;I get connected;;Customers are transparently informed about all potential costs, fees, and conditions of their orders or changes, with their explicit consent required for any action.;;Informed and Consensual Order Changes: Include a detailed cost breakdown and terms overview in the order summary, requiring explicit customer consent for any changes. Use focus group testing to ensure clarity and transparency. Benchmark: Achieve a 95% customer understanding rate;Audit of order change communications, tracking consent confirmation rates, and monitoring customer complaints related to unexpected fees or changes.;Informed and Consensual Order Changes;8.0;Refined - V1;M;1;0;0;0;1;0;8
48;3;I get connected;;When interacting with customers, we avoid asking for information already available in our systems and provide friendly, helpful advice while updating them on the next steps.;;Friendly and Supportive Interaction: Ensure that we are leveraging internal support sustems and agents are able to review customer history. Reduce the need for customers to repeat their informaton and support request details.;Customer satisfaction scores, monitoring of repeat information requests, and tracking compliance with next-step updates.;Friendly and Supportive Interaction;9.0;Refined - V1;M;1;0;1;0;1;0;9
49;5;I check and pay;;Our products, services, and promotions have a clear and simple price structure. We transparently explain bills, any changes, or additional fees in simple terms without financial jargon. The content and structure of bills make it easy to understand what customers are paying for.;;Clear and Simple Billing Structure and Communication: Did you desing the bill format with customer input, ensuring a simple breakdown of charges with plain language explanations of fees. Conduct user testing to confirm the structure is easy to understand. Ensure a 90% comprehension score.;Customer satisfaction surveys, customer feedback on billing clarity, and audit of billing communications for consistency.;Clear and Simple Billing Structure and Communication;10.0;Refined - V1;H;1;1;0;0;0;0;10
50;5;I check and pay;;We proactively notify customers when a new bill is available about outstanding payments, ongoing costs, and any changes in their payment status. Customers are informed immediately if a payment attempt is successful or fails.;;Timely and Transparent Notifications About Billing and Payments: Send real-time updates about payment status via SMS, email, or push notification. Test with a customer focus group for effectiveness. Benchmark: Ensure that 95% of payment notifications are sent within 5 minutes of any payment event (success/failure).;Monitoring notification delivery times, tracking payment confirmation rates, and customer feedback on timeliness of communication.;Timely and Transparent Notifications About Billing and Payments;13.5;Refined - V1;H;1;0;1;0;1;Y;13,5
51;5;I check and pay;;We ensure the payment process is easy and fast, allowing customers to pay with their preferred methods (e.g., debit, credit, TWINT, Apple/Google Pay), and our systems immediately reflect payments.;;Easy-to-Use Payment Process with Multiple Options: Integrate multiple payment methods into the system and ensure payments are processed in real-time. Conduct user testing to ensure the payment process is seamless and fast. Benchmark: Achieve a 95% success rate for real-time payment reflection within 1 minute.;Customer feedback on ease of payment, tracking payment success rates, and system audits for real-time payment reflection.;Easy-to-Use Payment Process with Multiple Options;11.0;Refined - V1;H;0;1;1;0;1;0;11
52;5;I check and pay;;We transparently communicate any additional fees (e.g., repair fees, early termination) and offer customers tools to control and monitor their costs, including real-time cost updates and cost limit notifications.;;Cost Control and Transparency of Additional Fees: Is there a cost control system in place that notifies a customer in real time? Does it Clearly display additional fees in customer portals and provide explanations for any unfamiliar charges. Test with customers to achieve a 90% comprehension rate.;Customer feedback on cost transparency, system tracking of cost limits and notifications, and analysis of customer complaints related to hidden fees.;Cost Control and Transparency of Additional Fees;13.5;Refined - V1;H;1;1;0;0;1;Y;13,5
53;5;I check and pay;;Customers can easily save and modify their preferred payment methods, manage their cost control settings, and add or remove options as needed.;;Customer Control Over Account and Payment Settings: Provide an intuitive user interface in the customer portal and app that allows customers to add, remove, or modify payment methods and cost control settings easily. Test with customers to ensure simplicity. Benchmark: Achieve a 95% completion rate for customers managing their payment methods or cost control settings without assistance.;Monitoring system usage for payment method management, customer feedback on cost control tools, and tracking modification rates.;Customer Control Over Account and Payment Settings;9.0;Refined - V1;H;0;1;0;0;0;0;9
54;5;I check and pay;;Customers can access billing support through their preferred channel (shop, call, chat, contact form), view and comment on their billing cases, and receive proactive updates about the status of their cases.;;Seamless Access to Billing Support and Case Management: Ensure all billing support channels are integrated and provide a consistent experience. Integrate into case tracking in MySunrise with real-time updates and a feedback option. Benchmark: Ensure that 95% of billing cases receive an update within 24 hours.;Customer satisfaction with support channels, monitoring case update times, and tracking usage of MySunrise for case management.;Seamless Access to Billing Support and Case Management;11.0;Refined - V1;H;0;1;1;0;1;0;11
55;5;I check and pay;;Customers can quickly check their ongoing costs and past bills, with all running costs reflected in real time. If real-time updates are unavailable, we inform customers when the data was last updated and when the next update will be done.;;Real-Time Billing Information and Status Updates: Display real-time running costs and historical bills. If real-time updates are delayed, provide clear communication about the last update and the next update schedule.;System audit of real-time billing information, customer feedback on cost tracking, and tracking usage of billing portals.;Real-Time Billing Information and Status Updates;11.5;Refined - V1;M;1;0;1;0;1;Y;11,5
56;5;I check and pay;;Customers can easily report billing issues, receive timely updates on the status of their problems, and get a payment extension if technical issues prevent them from paying on time.;;Tools to Resolve Billing Issues Quickly and Easily: Provide customers with status updates on their issues via their preferred channel. Benchmark: Resolve 95% of billing issues within 48 hours.;Tracking issue resolution times, customer feedback on billing issue support, and system audit of payment extensions granted.;Tools to Resolve Billing Issues Quickly and Easily;9.0;Refined - V1;M;0;1;1;0;1;0;9
57;5;I check and pay;;When a billing-related case or ticket is closed, we explain the resolution clearly and allow customers to confirm whether they agree with the closure. If there’s an issue with the billing process, we do not charge customers until it is resolved.;;Transparent Closure of Billing Cases: Provide detailed closure summaries for all billing-related cases and give customers an option to confirm or dispute the closure.;Customer feedback on case closure transparency, tracking of reopened cases, and audit of fee reversals for unresolved billing issues.;Transparent Closure of Billing Cases;7.0;Refined - V1;M;1;0;0;0;0;0;7
